Date,AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
2014-07-18,64,Ozone,Aurora East,08-005-0006,AQS,174,64,98.2,07/18/2003,07/18/2014
2014-07-19,105,Ozone,ROCKY FLATS-N,08-059-0006,AQS,166,74,105.4,07/19/2002,07/19/2001
2014-07-20,84,Ozone,ROCKY FLATS-N,08-059-0006,AQS,166,51,82.8,07/20/2002,07/20/2019
2014-07-21,67,Ozone,ROCKY FLATS-N,08-059-0006,AQS,147,50,89.8,07/21/2005,07/21/2015
2014-07-22,140,Ozone,ROCKY FLATS-N,08-059-0006,AQS,169,48,98.8,07/22/2003,07/22/2004
2014-07-23,77,Ozone,Aspen Park,08-059-0013,AQS,150,40,86.2,07/23/2003,07/23/2004
2014-07-24,71,Ozone,ROCKY FLATS-N,08-059-0006,AQS,143,28,98.2,07/24/2011,07/24/2004
2014-07-25,67,Ozone,ROCKY FLATS-N,08-059-0006,AQS,164,58,89.2,07/25/2007,07/25/2017
2014-07-26,87,Ozone,ROCKY FLATS-N,08-059-0006,AQS,179,31,82.0,07/26/2003,07/26/2005
2014-07-27,67,Ozone,Aurora East,08-005-0006,AQS,156,58,104.2,07/27/2016,07/27/2004
2014-07-28,108,Ozone,ROCKY FLATS-N,08-059-0006,AQS,159,54,81.4,07/28/2000,07/28/2019
2014-07-29,84,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,177,45,88.2,07/29/2006,07/29/2009
2014-07-30,51,Ozone,Mines Peak,08-019-0006,AQS,190,43,105.4,07/30/2007,07/30/2009
2014-07-31,77,Ozone,ROCKY FLATS-N,08-059-0006,AQS,179,50,104.0,07/31/2007,07/31/2009
2014-08-01,74,Ozone,ROCKY FLATS-N,08-059-0006,AQS,150,41,110.0,08/01/2007,08/01/2002
2014-08-02,108,Ozone,Mines Peak,08-019-0006,AQS,174,50,107.6,08/02/2003,08/02/2001
2014-08-03,126,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,140,49,87.0,08/03/2001,08/03/2015
2014-08-04,122,Ozone,Aurora East,08-005-0006,AQS,161,36,74.8,08/04/2001,08/04/2005
2014-08-05,50,Ozone,Aurora East,08-005-0006,AQS,150,46,79.2,08/05/2009,08/05/2006
2014-08-06,74,Ozone,Chatfield State Park,08-035-0004,AQS,126,47,78.0,08/06/2003,08/06/2009
2014-08-07,49,Ozone,Mines Peak,08-019-0006,AQS,154,43,106.4,08/07/2019,08/07/2017
2014-08-08,90,Ozone,ROCKY FLATS-N,08-059-0006,AQS,179,53,83.4,08/08/2012,08/08/2017
2014-08-09,67,Ozone,ROCKY FLATS-N,08-059-0006,AQS,182,49,93.0,08/09/2012,08/09/2001
2014-08-10,77,Ozone,Chatfield State Park,08-035-0004,AQS,140,51,80.6,08/10/2018,08/10/2010
2014-08-11,93,Ozone,Mines Peak,08-019-0006,AQS,136,50,85.8,08/11/2003,08/11/2019
2014-08-12,80,Ozone,ROCKY FLATS-N,08-059-0006,AQS,169,44,92.4,08/12/2007,08/12/2002
2014-08-13,101,Ozone,ROCKY FLATS-N,08-059-0006,AQS,151,33,91.8,08/13/2018,08/13/2005
2014-08-14,64,Ozone,Chatfield State Park,08-035-0004,AQS,179,40,87.2,08/14/2007,08/14/2005
2014-08-15,54,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,151,36,81.6,08/15/2007,08/15/2008
2014-08-16,84,Ozone,Aurora East,08-005-0006,AQS,159,45,113.2,08/16/2003,08/16/2005
2014-08-17,49,Ozone,ROCKY FLATS-N,08-059-0006,AQS,151,46,87.2,08/17/2013,08/17/2000
2014-08-18,64,Ozone,ROCKY FLATS-N,08-059-0006,AQS,122,47,94.4,08/18/2017,08/18/2005
2014-08-19,47,Ozone,Chatfield State Park,08-035-0004,AQS,143,44,77.2,08/19/2003,08/19/2005
2014-08-20,74,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,161,47,99.4,08/20/2003,08/20/2001
2014-08-21,67,Ozone,ROCKY FLATS-N,08-059-0006,AQS,200,45,98.6,08/21/2007,08/21/2004
2014-08-22,45,Ozone,Aurora East,08-005-0006,AQS,201,44,88.6,08/22/2007,08/22/2002
2014-08-23,80,Ozone,Mines Peak,08-019-0006,AQS,126,43,81.4,08/23/2009,08/23/2004
2014-08-24,108,Ozone,Welby,08-001-3001,AQS,161,42,89.4,08/24/2007,08/24/2004
2014-08-25,71,Ozone,NATIONAL RENEWABLE ENERGY LABS - NREL,08-059-0011,AQS,174,44,83.2,08/25/2007,08/25/2009
2014-08-26,45,Ozone,Mines Peak,08-019-0006,AQS,122,45,80.2,08/26/2010,08/26/2014
2014-08-27,50,Ozone,Mines Peak,08-019-0006,AQS,133,37,73.2,08/27/2011,08/27/2004
2014-08-28,44,Ozone,Aurora East,08-005-0006,AQS,119,44,78.8,08/28/2011,08/28/2014
2014-08-29,48,PM2.5,I-25,08-031-0027,AQS,151,44,78.8,08/29/2013,08/29/2014
2014-08-30,48,PM2.5,Alsup Elementry School - Commerce City,08-001-0006,AQS,156,36,80.6,08/30/2007,08/30/2003
