"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"06/16/2015","49","Ozone","ROCKY FLATS-N","08-059-0006","AQS","151","36","88.8","06/16/2016","06/16/2000"
"06/17/2015","119","Ozone","ROCKY FLATS-N","08-059-0006","AQS","154","43","84.2","06/17/2016","06/17/2018"
"06/18/2015","97","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","151","32","87.6","06/18/2005","06/18/2004"
"06/19/2015","97","Ozone","ROCKY FLATS-N","08-059-0006","AQS","172","47","94.6","06/19/2006","06/19/2004"
"06/20/2015","136","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","143","47","86.4","06/20/2012","06/20/2009"
"06/21/2015","169","Ozone","Chatfield State Park","08-035-0004","AQS","169","44","97.6","06/21/2015","06/21/2004"
"06/22/2015","93","Ozone","ROCKY FLATS-N","08-059-0006","AQS","190","51","73","06/22/2012","06/22/2014"
"06/23/2015","164","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","164","44","94.2","06/23/2015","06/23/2019"
"06/24/2015","90","Ozone","Chatfield State Park","08-035-0004","AQS","197","26","85.8","06/24/2011","06/24/2003"
"06/25/2015","136","Ozone","Chatfield State Park","08-035-0004","AQS","136","46","90.6","06/25/2015","06/25/2004"
"06/26/2015","87","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","129","41","93.6","06/26/2002","06/26/2000"
"06/27/2015","93","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","151","49","100.4","06/27/2013","06/27/2004"
"06/28/2015","97","Ozone","Welby","08-001-3001","AQS","161","44","94","06/28/2010","06/28/2000"
"06/29/2015","101","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","159","54","90.8","06/29/2002","06/29/2000"
"06/30/2015","100","Ozone","ROCKY FLATS-N","08-059-0006","AQS","161","49","80","06/30/2007","06/30/2004"
"07/01/2015","90","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","172","51","82","07/01/2002","07/01/2019"
"07/02/2015","100","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","166","61","88","07/02/2007","07/02/2009"
"07/03/2015","150","Ozone","WELCH","08-059-0005","AQS","151","50","91.6","07/03/2007","07/03/2004"
"07/04/2015","87","Ozone","ROCKY FLATS-N","08-059-0006","AQS","177","51","88","07/04/2012","07/04/2009"
"07/05/2015","58","Ozone","Aurora East","08-005-0006","AQS","159","58","81","07/05/2001","07/05/2015"
"07/06/2015","72","PM2.5","I-25","08-031-0027","AQS","156","58","98.4","07/06/2018","07/06/2010"
"07/07/2015","146","PM2.5","La Casa","08-031-0026","AQS","146","54","116.2","07/07/2015","07/07/2008"
"07/08/2015","101","PM2.5","I-25","08-031-0027","AQS","151","45","86.4","07/08/2003","07/08/2006"
"07/09/2015","84","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","182","51","85.6","07/09/2007","07/09/2006"
"07/10/2015","51","Ozone","Chatfield State Park","08-035-0004","AQS","174","51","96.6","07/10/2008","07/10/2015"
"07/11/2015","48","Ozone","Aurora East","08-005-0006","AQS","215","48","90.8","07/11/2003","07/11/2015"
"07/12/2015","49","Ozone","ROCKY FLATS-N","08-059-0006","AQS","210","49","81.2","07/12/2003","07/12/2015"
"07/13/2015","43","Ozone","Aurora East","08-005-0006","AQS","166","43","94.4","07/13/2006","07/13/2015"
"07/14/2015","48","Ozone","Chatfield State Park","08-035-0004","AQS","164","48","98","07/14/2006","07/14/2015"
"07/15/2015","54","Ozone","Chatfield State Park","08-035-0004","AQS","161","46","75.4","07/15/2006","07/15/2001"
"07/16/2015","71","Ozone","Aurora East","08-005-0006","AQS","159","49","106.4","07/16/2011","07/16/2004"
"07/17/2015","67","Ozone","Aurora East","08-005-0006","AQS","174","61","99.2","07/17/2003","07/17/2000"
"07/18/2015","67","Ozone","ROCKY FLATS-N","08-059-0006","AQS","174","64","98.2","07/18/2003","07/18/2014"
"07/19/2015","74","Ozone","Chatfield State Park","08-035-0004","AQS","166","74","105.4","07/19/2002","07/19/2001"
"07/20/2015","71","Ozone","NATIONAL RENEWABLE ENERGY LABS - NREL","08-059-0011","AQS","166","51","82.8","07/20/2002","07/20/2019"
"07/21/2015","50","Ozone","Chatfield State Park","08-035-0004","AQS","147","50","89.8","07/21/2005","07/21/2015"
"07/22/2015","71","Ozone","Aurora East","08-005-0006","AQS","169","48","98.8","07/22/2003","07/22/2004"
"07/23/2015","54","Ozone","ROCKY FLATS-N","08-059-0006","AQS","150","40","86.2","07/23/2003","07/23/2004"
